seed,L1-1 cover_total_m,L1-1 limestone_share,L1-1 pandurra_m,L1-2 corr_length_km,L1-3 relief_m,L2-1 intensity_per_1e4km2,L2-3 basalt_multiplier,L3-1 p_reduced,L3-2 belt_length_km,L4-1 reach_d_km,L4-2 p_ore,L4-3 ore_multiplier,L5-2 rho_quartzite,L5-2 rho_shale,L5-2 rho_limestone,L5-2 rho_pandurra,L5-2 k_cover,L5-2 res_cover,n_basalt,basalt_frac,reduced_frac,zone_km2,n_ore,Mt_total,contrast,g_n_per_1e4km2,g_amp_median,g_amp_p90,g_width_median_km,g_residual_sd,m_n_per_1e4km2,m_amp_median,m_amp_p90,m_width_median_km,m_residual_sd
1000,370.2651542280301,0.09057627705094944,406.27250722714723,13.869608913441922,79.31385384300789,3.52829024064631,5.786275176911479,0.2384203880478985,72.89928670167646,12.955831135625829,0.29939677743553966,1.9934906528245553,2.6189857412081543,2.591997790946086,2.5349985829731163,2.395590597667031,15.992384920876775,75.02293603910357,2,0.001696165191740413,0.23842182890855457,442.0,37,1658.0389852708768,0.45731226094842103,0.8201427048306406,2.4985061724704685,2.4985061724704685,2.5231325220201604,1.003967901071598,1.8703824932198634,1234.4587661362934,1239.2953062371596,4.453104504221542,38.40672223531896
1001,414.0455657135764,0.002355070173049728,282.20803467428516,39.77767747834053,11.42979514017214,3.608721955563393,11.711716989342134,0.07464053338024358,38.32724192333811,2.703675111190635,0.12430138088467786,4.936467918395823,2.676515321118094,2.226733957370274,2.4453104918947495,2.4917034834332163,22.934298016894374,548.7517071810981,6,0.02676991150442478,0.07470501474926254,103.0,2,7.0469142400073554,0.3042570977589434,7.381284343475764,2.8769023063748285,3.177604350635142,5.4115163798060095,1.3731404492887174,3.7407649864397268,88.26368037253289,534.7546446753425,6.32801621111302,25.148882884399605
1002,302.79415655189564,0.053578400650642045,527.4541948758676,18.717298583292266,50.5696780199305,6.439156236236992,4.182712828297873,0.07991309475921966,116.01137527993657,6.040500861979549,0.33150137777954813,2.391652806826859,2.636595373947252,2.594876344404153,2.341538280232178,2.4178780340870345,10.065272814979785,282.7028994242073,8,0.019542772861356934,0.07994100294985251,74.0,4,325.32718774898643,0.41521390390747603,1.6402854096612811,4.4556674194327455,5.82280596598508,8.409387939002162,1.0863221757738315,2.8055737398297955,375.90979880037224,1903.0305647781734,3.1915382432114616,75.66777470922453
1003,210.12353676894406,0.03850587153282332,416.6695453087169,28.964996329465162,112.81692925141152,7.784782945117414,6.787432391569363,0.19938514712453903,143.06241212633512,10.600562107000634,0.1464290312210748,1.5628012375803975,2.6707197495627266,2.5314453855850423,2.3947628592557053,2.3333044271874432,34.322858555447624,38.37608628578371,15,0.045575221238938056,0.19941002949852507,1253.0,38,1846.8228110353975,0.5582374904499372,6.5611416386451245,2.584879320287742,3.700413577927429,4.680498186764723,1.1315769150390613,6.546338726269522,206.3506435411309,472.7984920996951,8.95623198216277,43.74576993462394
1004,120.4226173155432,0.019522696819144713,260.653086000783,18.452965646938594,93.10107072869815,8.696742143327882,3.1333697810127425,0.19011916685961056,46.645900473210204,12.374804922455949,0.2568550617634192,1.8588345849195544,2.604050579794411,2.345773440866158,2.362344499849105,2.4648366552376446,60.19715542812095,186.4319216816877,10,0.021238938053097345,0.19011799410029498,994.0,71,2991.5324207826457,0.3543688257242379,3.2805708193225622,2.724704737069278,3.711914988108465,3.088474451966192,1.0795622431977752,14.963059945758907,158.51650507103474,1831.4171513363171,2.763953195770684,125.31392486818464
1005,159.465203072589,0.13958430635829053,325.83040442508343,27.94685373750592,125.21890868161296,9.813776027624321,3.757989969532685,0.17420116369467792,95.09592789033444,5.100055348498812,0.33559392728009285,1.682350076915947,2.666778870544458,2.348095182463741,2.423531367838784,2.4972172670959107,55.48652802382807,3.1633163981846484,11,0.05103244837758112,0.17418879056047198,591.0,41,2083.9544712587176,0.30727725279937923,4.920856228983843,2.8094498525243425,3.7175394743775723,3.454592412936152,1.0485284019870136,8.416721219489386,424.0961561999503,1833.9777429473386,6.383076486422923,173.70670965858056
1006,281.72228811495575,0.09012854156994822,330.4501091412189,14.657368707212024,119.9654784248609,4.680361241562523,7.898147617467931,0.1391089205427108,88.88406712735767,7.33418443816534,0.31435697205840674,4.087462022984018,2.608301935328643,2.3325049061274727,2.5974694308957558,2.4502761727424422,25.052525663808716,459.10278255167475,4,0.009660766961651917,0.13915929203539823,14.0,2,41.70155550879396,0.47750613851250767,4.1007135241532024,2.308312479620054,4.331039129246127,3.1915382432114616,1.1042505103504892,1.8703824932198634,54.355636778791016,76.82183300679091,4.5897810207276235,6.324396829457884
1007,154.18796998122517,0.12239705177669148,481.6026886583719,13.721897759888925,88.3228190275005,9.162697212946611,8.670074614370417,0.09940464339999901,53.375968070192485,0.6443849689909376,0.30227532014339,2.939504033781344,2.6808974557045904,2.379836407261206,2.686296353874883,2.513133447622375,40.3374631158939,4.847115024708356,9,0.02013274336283186,0.09941002949852508,0.0,0,0.0,0.3066688793001573,4.920856228983843,2.450881545088775,2.6021341166346685,2.763953195770684,1.0770619801686185,5.611147479659591,684.1249654322013,1317.7143809355432,7.268942392637509,80.27364561999686
1008,200.281319546217,0.12195761215931687,295.2355791958379,48.71080871064729,147.4782411214811,8.754205506679343,7.7808512677396635,0.055684155075382116,46.28412833157659,5.590037012331429,0.13913230569007723,1.7987517424006505,2.6419517015547105,2.5228497473603495,2.425806639261567,2.433601077087232,25.936359995026894,9.280127356453418,13,0.043289085545722715,0.05575221238938053,60.0,0,0.0,0.3752339301267238,5.740998933814484,2.595054824177955,2.9327414901231053,2.985410660720923,1.1407364398513866,12.157486205929112,69.96072040463122,560.24822511183,3.742410318509555,61.80417558047482
1009,147.12022178565087,0.04903733815092926,221.83494038806083,15.726740759370887,123.87688087161285,6.871819864233013,10.559504449807855,0.17449155423222634,31.390869731991884,2.283930148483757,0.3323101110779457,1.2283401916659509,2.675598552825929,2.235926156239138,2.339143581291921,2.4360034915083766,57.77579396183564,29.19376146699965,6,0.025221238938053097,0.17448377581120944,82.0,3,41.43389385244482,0.4199048879293521,4.920856228983843,2.4510707148328397,4.186771280665301,3.6037094531828378,1.140092573907125,1.8703824932198634,392.9036479505365,634.5240175647485,9.722337730374335,39.701257100542655
1010,165.5962958215547,0.08037085968552654,601.9424091036958,48.53054725346879,127.3229308718542,7.969158847699165,7.960168021733936,0.1912287330300027,34.337578572933985,9.70344738710291,0.15789652043212066,4.494132556403212,2.604014625925351,2.5955392700520727,2.5465693703678305,2.5235382438722467,51.260594000559415,1.6190765984831548,14,0.055825958702064894,0.19122418879056047,987.0,50,1795.6055625204212,0.3411542626926787,7.381284343475764,2.347891117261885,2.6692919236261923,3.1915382432114616,1.0659326158231393,8.416721219489386,232.31862801478027,1422.6787157347428,5.292567428401227,125.70936478604706
1011,256.3799233682096,0.08449853032640932,293.1188589784475,11.411501371252665,15.421249540831205,5.181308361607052,8.124467182482917,0.29560370059581015,146.8424767579432,7.748455019024209,0.09805522547463583,2.474939194194048,2.6489275420066076,2.435604642714971,2.201113221497705,2.37421187177829,17.725942006659455,2.884708982415682,12,0.07352507374631269,0.2956489675516224,1347.0,21,766.389312046888,0.4120117517204398,7.381284343475764,2.494343498163047,3.864641490764046,3.5682482323055424,1.20163830985455,9.351912466099318,166.2599375509733,1680.4019447406345,3.8951282389751474,106.74678462360436
1012,267.0338319699067,0.11709700265669884,304.43515176450995,39.93873139854865,74.05896201763288,7.321500289834575,10.820742947682914,0.08300050587228298,147.76860688234672,10.49846248359994,0.28047747001871937,1.8268301472002086,2.632877811310899,2.420704486819894,2.6465950430853242,2.3827900994776625,20.35847371947366,10.238101161502874,12,0.04247787610619469,0.08303834808259587,453.0,34,1033.691860066196,0.42426271392660064,6.5611416386451245,2.8235058288296777,3.4671432684579706,4.965829543981629,1.087634249287121,4.675956233049659,125.4283545161669,984.4918237448445,3.5682482323055424,39.95931956888769
1013,501.35659934697014,0.011846920736138416,494.6249009879849,20.551189391274473,106.8170240606388,3.9161645316961398,9.906795167752938,0.19246417865788418,102.51618288687555,8.243784290164337,0.21895166564976598,1.3319770057670595,2.6991148040299215,2.4729655886157116,2.603227229595718,2.3937826373679294,88.00382130722322,61.262043217103745,1,0.00855457227138643,0.19247787610619468,70.0,3,43.99718813086667,0.35645028357731867,4.920856228983843,2.4216746144330097,2.670748061351044,2.5103557649808543,1.0588315113192501,0.9351912466099317,1963.766208009762,1963.766208009762,10.155412503859614,103.59209854795832
1014,329.051520778944,0.08785534579506218,593.3085854594475,49.40650060987861,76.70905860745788,3.863707266480729,15.33656686210602,0.21186957836705106,76.84219019666723,8.497999581776453,0.28717309571256006,2.860219736093801,2.633856244352845,2.362786100382003,2.4994587076001205,2.41367160267788,34.12222584608175,709.674895879031,5,0.004793510324483776,0.2118731563421829,393.0,31,1703.5215470695048,0.4067394530394486,1.6402854096612811,2.351813721651338,2.509539931802017,2.9316150714175198,1.043122248862532,3.7407649864397268,329.763300996225,589.3011912196037,4.197418405095417,26.57951466133122
1015,292.75340891234794,0.09106017429110479,480.8916424801873,11.613389450371352,4.5734227466418425,3.172863253647429,6.9743107018947645,0.22346651241526888,49.6089195744198,4.8671841256121535,0.15673172557079987,1.5125498673482562,2.694251257389375,2.459584170442118,2.549725676246418,2.402564552674303,39.62655573233833,2.7056156503482693,2,0.009070796460176991,0.2234513274336283,6.0,1,44.27697080888587,0.4421495937900759,4.1007135241532024,2.403313371190795,3.0102421930305256,2.763953195770684,1.0673273371875023,0.0,,,,5.288246037486591
